Location Name,RMI Drum,Color,Qty in pounds,Capacity
"Green Bay, WI",RMI DRUM28,Coloring Agent28,100000,"300,000"
"Green Bay, WI",RMI DRUM29,Coloring Agent29,100000,"300,000"
"Green Bay, WI",RMI DRUM30,Coloring Agent30,100000,"300,000"
"Green Bay, WI",RMI DRUM31,Coloring Agent31,100000,"300,000"
"Green Bay, WI",RMI DRUM32,Coloring Agent32,100000,"300,000"
"Green Bay, WI",RMI DRUM33,Coloring Agent33,100000,"300,000"
"Green Bay, WI",RMI DRUM34,Coloring Agent34,100000,"300,000"
"Green Bay, WI",RMI DRUM35,Coloring Agent35,100000,"300,000"
"Green Bay, WI",RMI DRUM36,Coloring Agent36,100000,"300,000"
"Green Bay, WI",RMI DRUM37,Coloring Agent37,100000,"300,000"
"Green Bay, WI",RMI DRUM38,Coloring Agent38,100000,"300,000"
"Green Bay, WI",RMI DRUM39,Coloring Agent39,100000,"300,000"
"Green Bay, WI",RMI DRUM40,Coloring Agent40,100000,"300,000"
"Omaha, NE",RMI DRUM1,Coloring Agent1,100000,"300,000"
"Omaha, NE",RMI DRUM2,Coloring Agent2,100000,"300,000"
"Omaha, NE",RMI DRUM3,Coloring Agent3,100000,"300,000"
"Omaha, NE",RMI DRUM4,Coloring Agent4,100000,"300,000"
"Omaha, NE",RMI DRUM5,Coloring Agent5,100000,"300,000"
"Omaha, NE",RMI DRUM6,Coloring Agent6,100000,"300,000"
"Omaha, NE",RMI DRUM7,Coloring Agent7,100000,"300,000"
"Omaha, NE",RMI DRUM8,Coloring Agent8,100000,"300,000"
"Omaha, NE",RMI DRUM9,Coloring Agent9,100000,"300,000"
"Omaha, NE",RMI DRUM10,Coloring Agent10,100000,"300,000"
"Omaha, NE",RMI DRUM11,Coloring Agent11,100000,"300,000"
"Omaha, NE",RMI DRUM12,Coloring Agent12,100000,"300,000"
"Omaha, NE",RMI DRUM13,Coloring Agent13,100000,"300,000"
"Omaha, NE",RMI DRUM14,Coloring Agent14,100000,"300,000"
"Omaha, NE",RMI DRUM15,Coloring Agent15,100000,"300,000"
"Omaha, NE",RMI DRUM16,Coloring Agent16,100000,"300,000"
"Omaha, NE",RMI DRUM17,Coloring Agent17,100000,"300,000"
"Omaha, NE",RMI DRUM18,Coloring Agent18,100000,"300,000"
"Omaha, NE",RMI DRUM19,Coloring Agent19,100000,"300,000"
"Omaha, NE",RMI DRUM20,Coloring Agent20,100000,"300,000"
"Omaha, NE",RMI DRUM21,Coloring Agent21,100000,"300,000"
"Omaha, NE",RMI DRUM22,Coloring Agent22,100000,"300,000"
"Omaha, NE",RMI DRUM23,Coloring Agent23,100000,"300,000"
"Omaha, NE",RMI DRUM24,Coloring Agent24,100000,"300,000"
"Omaha, NE",RMI DRUM25,Coloring Agent25,100000,"300,000"
"Omaha, NE",RMI DRUM26,Coloring Agent26,100000,"300,000"
"Omaha, NE",RMI DRUM27,Coloring Agent27,100000,"300,000"
"Omaha, NE",RMI DRUM28,Coloring Agent28,100000,"300,000"
"Omaha, NE",RMI DRUM29,Coloring Agent29,100000,"300,000"
"Omaha, NE",RMI DRUM30,Coloring Agent30,100000,"300,000"
"Omaha, NE",RMI DRUM31,Coloring Agent31,100000,"300,000"
"Omaha, NE",RMI DRUM32,Coloring Agent32,100000,"300,000"
"Omaha, NE",RMI DRUM33,Coloring Agent33,100000,"300,000"
"Omaha, NE",RMI DRUM34,Coloring Agent34,100000,"300,000"
"Omaha, NE",RMI DRUM35,Coloring Agent35,100000,"300,000"
"Omaha, NE",RMI DRUM36,Coloring Agent36,100000,"300,000"
"Omaha, NE",RMI DRUM37,Coloring Agent37,100000,"300,000"
"Omaha, NE",RMI DRUM38,Coloring Agent38,100000,"300,000"
"Omaha, NE",RMI DRUM39,Coloring Agent39,100000,"300,000"
"Omaha, NE",RMI DRUM40,Coloring Agent40,100000,"300,000"
