Customer Order Number,Color,Size,Flavor,Package Type,Qty (pack unit)
A1307084,Color Agent31,S5,F5,Bag,8248
A1334473,Color Agent9,S5,F6,Bag,7020
A1340267,Color Agent23,S2,F4,Box,529
A1361058,Color Agent4,S3,F11,Bag,7372
A1413969,Color Agent34,S4,F6,Bag,4536
A1425686,Color Agent32,S1,F2,Bag,7244
A1430192,Color Agent11,S1,F11,Box,577
A1474105,Color Agent10,S1,F3,Bag,7952
A1490655,Color Agent22,S2,F1,Box,849
A1509741,Color Agent39,S2,F2,Box,682
A1529465,Color Agent7,S3,F11,Bag,3024
A1536490,Color Agent8,S2,F2,Bag,4740
A1551469,Color Agent31,S3,F2,Box,651
A1564981,Color Agent6,S5,F11,Bag,10724
A1568838,Color Agent15,S2,F2,Box,729
A1583144,Color Agent31,S4,F3,Bag,13760
A1609822,Color Agent32,S4,F12,Bag,5096
A1611447,Color Agent6,S3,F2,Bag,5972
A1680689,Color Agent25,S4,F12,Bag,8260
A1691792,Color Agent16,S4,F8,Bag,3960
A1694900,Color Agent6,S2,F10,Bag,4500
A1747207,Color Agent31,S1,F3,Bag,10912
A1759682,Color Agent5,S5,F8,Bag,4768
A1771662,Color Agent4,S1,F2,Bag,12420
A1776217,Color Agent2,S1,F9,Bag,7696
A1839534,Color Agent6,S2,F11,Bag,9608
A1846797,Color Agent18,S3,F8,Bag,8620
A1859930,Color Agent5,S2,F10,Box,474
A1895633,Color Agent26,S2,F12,Bag,7328
A1935078,Color Agent4,S1,F2,Bag,8716
A1942860,Color Agent12,S4,F5,Bag,3032
A1956087,Color Agent3,S5,F12,Bag,7060
A1973427,Color Agent37,S5,F5,Box,1878
A1981595,Color Agent34,S3,F4,Bag,4596
A1991765,Color Agent31,S3,F12,Bag,6208
A2013393,Color Agent10,S4,F9,Bag,12912
A2016684,Color Agent15,S4,F5,Bag,5792
A2017515,Color Agent17,S4,F5,Bag,6204
A2072381,Color Agent24,S5,F9,Bag,7408
A2103020,Color Agent35,S5,F5,Box,1301
A2133676,Color Agent9,S2,F4,Bag,5660
A2140568,Color Agent31,S2,F4,Box,1001
A2157811,Color Agent6,S1,F10,Box,661
A2198151,Color Agent15,S3,F4,Box,1552
A2208526,Color Agent38,S4,F9,Bag,8932
A2233590,Color Agent7,S5,F12,Bag,14404
A2272241,Color Agent38,S5,F3,Box,705
A2328657,Color Agent10,S5,F11,Box,1176
A2355598,Color Agent33,S3,F12,Bag,8340
A2373480,Color Agent23,S3,F9,Box,373
A2375449,Color Agent31,S3,F2,Bag,5224
A2393989,Color Agent17,S1,F8,Box,752
A2413334,Color Agent29,S3,F2,Bag,8728
A2442939,Color Agent20,S3,F8,Box,1297
A2448661,Color Agent27,S5,F10,Bag,9752
A2453837,Color Agent31,S2,F4,Bag,3824
A2493468,Color Agent28,S1,F5,Bag,18808
A2505542,Color Agent12,S1,F3,Bag,12036
A2525987,Color Agent15,S1,F3,Box,646
A2526957,Color Agent20,S4,F1,Bag,13024
A2540735,Color Agent9,S3,F10,Bag,7092
A2617843,Color Agent6,S5,F12,Bag,5492
A2630189,Color Agent33,S3,F11,Bag,3988
A2639880,Color Agent4,S2,F10,Bag,12104
A2676405,Color Agent9,S5,F8,Bag,7904
A2682837,Color Agent28,S3,F12,Box,571
A2699279,Color Agent39,S5,F1,Bag,5500
A2742064,Color Agent17,S2,F6,Bag,19800
A2746952,Color Agent3,S5,F2,Box,544
A2790381,Color Agent27,S5,F2,Bag,6008
A2824205,Color Agent13,S3,F4,Bag,8868
A2841073,Color Agent25,S3,F8,Box,629
A2923749,Color Agent26,S2,F10,Bag,6768
A2963531,Color Agent33,S1,F4,Box,1790
A2975238,Color Agent8,S3,F10,Bag,7616
A2988454,Color Agent21,S3,F1,Box,661
A3001524,Color Agent13,S3,F8,Bag,6988
A3007749,Color Agent24,S3,F5,Bag,8776
A3014834,Color Agent25,S2,F4,Box,1016
A3100372,Color Agent20,S3,F10,Bag,4052
A3130323,Color Agent3,S4,F2,Bag,10436
A3143639,Color Agent27,S5,F10,Bag,10808
A3176014,Color Agent21,S2,F12,Box,832
A3200045,Color Agent25,S3,F4,Box,808
A3221576,Color Agent20,S4,F9,Bag,12268
A3227428,Color Agent18,S2,F11,Box,479
A3234055,Color Agent40,S5,F1,Box,477
A3248003,Color Agent17,S1,F7,Bag,17112
A3272570,Color Agent32,S5,F4,Box,470
A3365488,Color Agent40,S3,F1,Box,1243
A3411463,Color Agent33,S5,F1,Box,1178
A3427967,Color Agent32,S1,F3,Bag,5332
A3428092,Color Agent34,S4,F12,Bag,5144
A3434387,Color Agent1,S3,F6,Box,1189
A3438475,Color Agent17,S2,F6,Bag,6220
A3470549,Color Agent2,S4,F2,Bag,11888
A3473161,Color Agent31,S4,F1,Bag,6712
A3545430,Color Agent40,S2,F5,Bag,6896
A3606731,Color Agent34,S1,F4,Box,820
A3658781,Color Agent9,S3,F6,Box,699
A3741680,Color Agent26,S4,F11,Bag,5780
A3786216,Color Agent39,S4,F3,Box,1005
A3788547,Color Agent36,S3,F2,Bag,5292
A3818251,Color Agent21,S1,F8,Box,1059
A3876429,Color Agent28,S2,F12,Bag,6368
A3908553,Color Agent27,S2,F10,Box,892
A3920411,Color Agent11,S5,F10,Box,1188
A3921569,Color Agent40,S2,F2,Bag,6660
A3959753,Color Agent18,S3,F11,Bag,5448
A3988511,Color Agent13,S3,F11,Bag,9084
A4012086,Color Agent29,S2,F12,Bag,10708
A4024108,Color Agent2,S3,F11,Box,635
A4056737,Color Agent14,S5,F11,Box,334
A4133959,Color Agent21,S4,F7,Bag,8416
A4134022,Color Agent9,S5,F5,Box,1476
A4153051,Color Agent7,S2,F5,Bag,9500
A4178388,Color Agent32,S1,F7,Box,892
A4193510,Color Agent31,S4,F11,Bag,6848
A4202631,Color Agent28,S3,F8,Bag,8304
A4230211,Color Agent39,S4,F4,Bag,12404
A4260957,Color Agent20,S5,F1,Bag,12312
A4275755,Color Agent8,S3,F9,Bag,11788
A4310056,Color Agent8,S1,F6,Bag,8504
A4337322,Color Agent17,S5,F11,Box,850
A4377551,Color Agent23,S4,F10,Bag,5108
A4403317,Color Agent38,S4,F12,Bag,7480
A4446271,Color Agent39,S3,F12,Bag,7292
A4504892,Color Agent37,S3,F4,Bag,13664
A4507406,Color Agent14,S5,F1,Box,878
A4533055,Color Agent36,S4,F6,Bag,10052
A4541814,Color Agent8,S5,F9,Box,368
A4565040,Color Agent12,S5,F6,Bag,5012
A4582866,Color Agent16,S3,F3,Box,902
A4583220,Color Agent10,S2,F9,Bag,4380
A4622601,Color Agent34,S4,F12,Bag,15128
A4650949,Color Agent23,S4,F2,Bag,10644
A4691360,Color Agent16,S1,F8,Bag,5468
A4693406,Color Agent35,S2,F1,Box,759
A4700650,Color Agent3,S1,F3,Box,578
A4719450,Color Agent27,S5,F10,Box,556
A4738084,Color Agent27,S1,F2,Bag,4840
A4746208,Color Agent19,S2,F11,Bag,5676
A4777495,Color Agent18,S4,F5,Bag,5448
A4816261,Color Agent40,S5,F2,Bag,7172
A4857227,Color Agent10,S2,F10,Bag,5472
A4866367,Color Agent6,S3,F8,Box,1081
A4877652,Color Agent37,S2,F2,Bag,9612
A4893707,Color Agent13,S5,F12,Bag,5420
A4981674,Color Agent23,S2,F5,Bag,9104
A4987893,Color Agent21,S3,F3,Bag,5452
A5024956,Color Agent7,S2,F2,Bag,13820
A5026628,Color Agent26,S4,F9,Bag,6676
A5039231,Color Agent13,S2,F9,Box,441
A5048295,Color Agent12,S1,F5,Bag,9040
A5108421,Color Agent22,S4,F10,Bag,5356
A5120571,Color Agent34,S1,F7,Bag,8856
A5162410,Color Agent7,S1,F4,Bag,8636
A5174456,Color Agent31,S4,F6,Bag,4668
A5177077,Color Agent20,S2,F10,Bag,8996
A5244262,Color Agent10,S1,F3,Box,774
A5285071,Color Agent35,S5,F3,Bag,13076
A5355537,Color Agent34,S2,F9,Bag,3460
A5357289,Color Agent23,S4,F6,Bag,7992
A5380724,Color Agent16,S1,F4,Box,1207
A5410093,Color Agent24,S2,F6,Bag,7524
A5465065,Color Agent27,S3,F12,Box,1493
A5478379,Color Agent8,S3,F5,Bag,21000
A5483987,Color Agent3,S4,F9,Box,657
A5491365,Color Agent36,S4,F6,Box,970
A5629906,Color Agent21,S5,F9,Bag,5000
A5633926,Color Agent23,S5,F6,Bag,4628
A5641890,Color Agent20,S2,F11,Box,399
A5667181,Color Agent40,S5,F8,Box,775
A5669747,Color Agent34,S4,F7,Bag,5820
A5678507,Color Agent36,S5,F7,Bag,6436
A5684971,Color Agent17,S3,F4,Bag,6532
A5704776,Color Agent40,S3,F9,Box,1330
A5708543,Color Agent35,S3,F7,Bag,6460
A5748795,Color Agent15,S5,F1,Bag,9644
A5769602,Color Agent1,S3,F2,Bag,6004
A5777642,Color Agent29,S1,F9,Bag,6720
A5793411,Color Agent16,S1,F9,Bag,4948
A5861790,Color Agent9,S1,F11,Box,865
A5881017,Color Agent38,S4,F11,Box,470
A5886399,Color Agent17,S3,F1,Bag,7184
A5889523,Color Agent37,S5,F11,Bag,2376
A5945529,Color Agent17,S2,F12,Bag,12112
A6013115,Color Agent32,S3,F5,Box,843
A6021159,Color Agent28,S2,F3,Bag,6856
A6031878,Color Agent37,S3,F10,Box,1089
A6097829,Color Agent6,S5,F8,Bag,7684
A6153925,Color Agent26,S5,F7,Box,328
A6185073,Color Agent31,S1,F10,Box,1363
A6186824,Color Agent26,S1,F4,Box,940
A6191859,Color Agent32,S4,F12,Box,1222
A6208909,Color Agent15,S1,F6,Box,1759
A6231725,Color Agent16,S5,F5,Bag,3900
A6239273,Color Agent16,S2,F2,Box,1052
A6244039,Color Agent22,S4,F8,Bag,6620
A6256061,Color Agent38,S5,F1,Bag,7020
A6295938,Color Agent4,S4,F12,Box,953
A6338052,Color Agent39,S1,F9,Bag,4684
A6354304,Color Agent14,S4,F4,Box,724
A6359908,Color Agent35,S4,F5,Bag,12060
A6413072,Color Agent25,S1,F10,Bag,8728
A6435370,Color Agent7,S4,F6,Box,575
A6451563,Color Agent28,S2,F6,Bag,10112
A6480432,Color Agent28,S2,F10,Bag,13820
A6500569,Color Agent2,S1,F4,Bag,6832
A6522984,Color Agent24,S5,F3,Bag,5340
A6527815,Color Agent36,S2,F3,Bag,8828
A6536539,Color Agent1,S5,F4,Bag,7732
A6624987,Color Agent30,S5,F8,Bag,4100
A6639834,Color Agent13,S3,F1,Bag,6192
A6670456,Color Agent34,S2,F10,Bag,8728
A6678200,Color Agent25,S5,F3,Bag,19560
A6697259,Color Agent14,S4,F11,Box,1385
A6707476,Color Agent1,S5,F3,Bag,5240
A6713394,Color Agent39,S5,F10,Bag,6356
A6719573,Color Agent39,S1,F8,Bag,10488
A6731465,Color Agent15,S5,F4,Box,675
A6737997,Color Agent26,S2,F4,Bag,16964
A6779239,Color Agent23,S2,F2,Bag,4336
A6805341,Color Agent32,S2,F7,Bag,5248
A6817597,Color Agent10,S4,F3,Box,738
A6848455,Color Agent12,S3,F12,Bag,6696
A6851791,Color Agent21,S5,F12,Bag,10128
A6927188,Color Agent10,S4,F5,Bag,5564
A6968584,Color Agent2,S4,F3,Bag,10216
A6990106,Color Agent8,S3,F7,Box,832
A7005119,Color Agent3,S4,F3,Bag,7356
A7017713,Color Agent35,S3,F9,Bag,11528
A7079863,Color Agent40,S5,F2,Box,706
A7087273,Color Agent6,S1,F4,Box,397
A7118565,Color Agent40,S4,F12,Box,891
A7128302,Color Agent2,S4,F11,Bag,8860
A7161297,Color Agent25,S5,F10,Bag,8260
A7161563,Color Agent15,S4,F11,Bag,12796
A7252472,Color Agent18,S4,F11,Box,1056
A7267497,Color Agent40,S2,F12,Bag,3964
A7283433,Color Agent6,S3,F11,Box,704
A7378612,Color Agent11,S4,F12,Bag,4948
A7380588,Color Agent12,S1,F6,Bag,5924
A7391745,Color Agent14,S1,F11,Bag,9060
A7405662,Color Agent20,S3,F8,Bag,8352
A7406468,Color Agent3,S5,F9,Bag,4884
A7425787,Color Agent14,S2,F6,Box,1095
A7432082,Color Agent17,S5,F6,Box,654
A7440878,Color Agent14,S3,F7,Box,297
A7441537,Color Agent5,S1,F4,Box,558
A7447649,Color Agent16,S1,F2,Bag,4676
A7487575,Color Agent38,S4,F2,Bag,9880
A7495062,Color Agent29,S4,F5,Box,808
A7525827,Color Agent2,S4,F7,Bag,5296
A7530505,Color Agent33,S3,F9,Bag,8584
A7558801,Color Agent5,S1,F7,Bag,13140
A7590193,Color Agent35,S3,F7,Bag,9852
A7647306,Color Agent1,S3,F3,Bag,9028
A7660854,Color Agent34,S2,F2,Bag,4976
A7662262,Color Agent39,S1,F9,Bag,6184
A7665476,Color Agent30,S2,F2,Box,1258
A7724418,Color Agent20,S2,F12,Bag,4988
A7735383,Color Agent3,S4,F1,Bag,6644
A7760330,Color Agent21,S1,F1,Bag,7844
A7790053,Color Agent24,S5,F3,Bag,8780
A7795466,Color Agent5,S4,F3,Bag,4008
A7805548,Color Agent40,S5,F3,Box,489
A7821590,Color Agent6,S2,F3,Bag,17668
A7896033,Color Agent34,S4,F7,Bag,4692
A7904982,Color Agent21,S5,F7,Bag,6676
A7926722,Color Agent9,S2,F2,Box,675
A7948125,Color Agent18,S5,F2,Box,1091
A7956810,Color Agent14,S2,F8,Bag,11928
A7988846,Color Agent24,S3,F2,Bag,5460
A8004510,Color Agent35,S5,F12,Box,382
A8017385,Color Agent18,S5,F9,Bag,4472
A8102414,Color Agent23,S4,F8,Bag,5256
A8106828,Color Agent30,S4,F7,Bag,3528
A8110059,Color Agent17,S3,F2,Bag,3900
A8124081,Color Agent18,S2,F4,Bag,16860
A8131324,Color Agent24,S1,F6,Box,1334
A8133703,Color Agent9,S2,F10,Bag,10868
A8146282,Color Agent5,S5,F10,Bag,11564
A8172367,Color Agent21,S2,F1,Box,391
A8202362,Color Agent3,S3,F10,Bag,10372
A8219607,Color Agent33,S5,F7,Bag,3884
A8228138,Color Agent16,S5,F12,Bag,8668
A8230623,Color Agent39,S2,F3,Bag,7872
A8244227,Color Agent20,S5,F10,Box,413
A8274741,Color Agent17,S3,F10,Box,896
A8296992,Color Agent2,S1,F10,Bag,4684
A8297106,Color Agent13,S3,F10,Bag,10988
A8308728,Color Agent3,S1,F8,Bag,14064
A8338235,Color Agent23,S2,F5,Bag,9332
A8357902,Color Agent14,S5,F8,Bag,5712
A8376083,Color Agent28,S4,F3,Box,693
A8395907,Color Agent6,S1,F11,Bag,5176
A8409398,Color Agent3,S1,F3,Bag,12136
A8451204,Color Agent34,S4,F4,Bag,5688
A8491941,Color Agent21,S3,F6,Bag,19960
A8528001,Color Agent16,S3,F12,Bag,6044
A8555963,Color Agent23,S4,F3,Bag,13268
A8573782,Color Agent25,S3,F7,Bag,15676
A8632115,Color Agent31,S3,F5,Bag,4356
A8647394,Color Agent17,S3,F3,Bag,4592
A8666782,Color Agent37,S2,F5,Bag,8480
A8675022,Color Agent8,S3,F6,Bag,5368
A8684581,Color Agent6,S4,F10,Bag,7240
A8712026,Color Agent39,S3,F1,Box,1470
A8735744,Color Agent25,S2,F7,Box,448
A8746403,Color Agent19,S1,F4,Box,694
A8764978,Color Agent34,S3,F12,Box,906
A8778824,Color Agent19,S2,F1,Bag,8888
A8875203,Color Agent1,S2,F12,Bag,3840
A8888161,Color Agent4,S5,F3,Box,540
A8890587,Color Agent2,S2,F9,Bag,6384
A8937891,Color Agent14,S2,F8,Bag,9980
A8947742,Color Agent18,S5,F6,Bag,3760
A8953323,Color Agent29,S2,F7,Bag,5596
A8964383,Color Agent7,S2,F6,Box,468
A9004346,Color Agent39,S5,F12,Bag,6704
A9025874,Color Agent22,S3,F10,Bag,8032
A9031730,Color Agent18,S5,F8,Bag,8024
A9037940,Color Agent31,S3,F8,Box,1463
A9045322,Color Agent1,S5,F12,Box,1550
A9055201,Color Agent40,S1,F4,Bag,16752
A9086802,Color Agent31,S5,F11,Box,625
A9135102,Color Agent29,S3,F12,Box,768
A9167417,Color Agent18,S3,F8,Bag,12240
A9180065,Color Agent34,S3,F5,Bag,4356
A9206561,Color Agent40,S5,F1,Bag,5744
A9215518,Color Agent36,S1,F9,Bag,7704
A9220366,Color Agent7,S4,F9,Bag,9480
A9318026,Color Agent31,S2,F5,Bag,4108
A9385483,Color Agent10,S2,F6,Bag,4288
A9400811,Color Agent29,S4,F10,Bag,13784
A9405256,Color Agent1,S4,F8,Bag,8436
A9448118,Color Agent1,S2,F2,Bag,4244
A9492755,Color Agent14,S4,F12,Bag,4424
A9505637,Color Agent8,S4,F2,Bag,9752
A9507610,Color Agent6,S3,F4,Box,782
A9511995,Color Agent19,S4,F8,Bag,7332
A9524079,Color Agent29,S4,F1,Box,499
A9596265,Color Agent20,S5,F12,Bag,6904
A9609086,Color Agent22,S3,F1,Bag,6180
A9618053,Color Agent11,S4,F4,Bag,5228
A9631466,Color Agent38,S5,F4,Bag,7968
A9672908,Color Agent11,S4,F2,Bag,8532
A9674862,Color Agent40,S1,F1,Bag,6900
A9683120,Color Agent16,S2,F1,Bag,2196
A9695265,Color Agent35,S5,F6,Bag,4448
A9703177,Color Agent39,S4,F4,Bag,12180
A9706601,Color Agent20,S4,F4,Box,449
A9706918,Color Agent29,S5,F3,Bag,12788
A9726055,Color Agent4,S1,F8,Bag,8332
A9730178,Color Agent10,S1,F9,Bag,4628
A9782326,Color Agent15,S2,F11,Bag,12264
A9824558,Color Agent5,S5,F7,Box,428
A9904999,Color Agent13,S3,F5,Bag,7808
A9922609,Color Agent24,S1,F3,Bag,12248
A9931323,Color Agent3,S2,F6,Box,577
A9935912,Color Agent38,S3,F7,Bag,5436
A9940824,Color Agent15,S4,F6,Bag,6496
A9944750,Color Agent21,S1,F10,Bag,9064
A9951244,Color Agent3,S5,F12,Box,560
A9953632,Color Agent35,S1,F4,Bag,6684
A9959439,Color Agent38,S2,F12,Bag,11612
A9995004,Color Agent21,S4,F1,Bag,4224
B0006415,Color Agent19,S3,F1,Bag,9476
B0008127,Color Agent19,S2,F5,Box,449
B0013810,Color Agent35,S4,F7,Bag,9228
B0027062,Color Agent29,S4,F11,Bag,3080
B0029525,Color Agent28,S2,F1,Bag,12828
B0041793,Color Agent4,S5,F6,Box,917
B0069846,Color Agent10,S5,F1,Bag,8012
B0105057,Color Agent17,S1,F1,Box,894
B0130882,Color Agent16,S1,F4,Box,596
B0143081,Color Agent24,S2,F11,Bag,6124
B0145218,Color Agent24,S5,F4,Box,1203
B0165663,Color Agent32,S4,F11,Bag,5044
B0179643,Color Agent31,S1,F8,Bag,7828
B0196199,Color Agent11,S3,F5,Box,483
B0200702,Color Agent10,S4,F10,Bag,6492
B0236867,Color Agent21,S5,F12,Box,872
B0303493,Color Agent13,S4,F1,Box,324
B0316438,Color Agent27,S4,F11,Bag,7520
B0322041,Color Agent35,S5,F12,Box,623
B0378332,Color Agent39,S5,F6,Bag,12536
B0442175,Color Agent24,S4,F7,Bag,10892
B0448310,Color Agent1,S4,F6,Bag,9828
B0454910,Color Agent23,S2,F3,Box,1152
B0512392,Color Agent13,S3,F2,Bag,5564
B0523156,Color Agent29,S5,F12,Box,400
B0536283,Color Agent20,S4,F4,Bag,6544
B0579876,Color Agent25,S1,F1,Bag,4780
B0594995,Color Agent27,S4,F10,Box,889
B0599473,Color Agent15,S5,F5,Bag,10384
B0602838,Color Agent24,S2,F5,Bag,6260
B0688426,Color Agent19,S1,F7,Box,950
B0741636,Color Agent5,S3,F3,Bag,16932
B0776920,Color Agent21,S1,F12,Bag,8524
B0799305,Color Agent12,S4,F11,Bag,10760
B0807315,Color Agent2,S4,F10,Box,618
B0819550,Color Agent21,S5,F9,Box,1044
B0886461,Color Agent33,S3,F2,Bag,4064
B0889659,Color Agent24,S5,F5,Bag,14404
B0925126,Color Agent9,S3,F10,Bag,9128
B0990965,Color Agent1,S4,F1,Bag,13200
B1025345,Color Agent6,S1,F10,Bag,7284
B1037499,Color Agent9,S3,F5,Bag,10152
B1092178,Color Agent20,S2,F1,Bag,7060
B1099047,Color Agent38,S4,F3,Bag,5964
B1119236,Color Agent7,S3,F4,Bag,8836
B1158028,Color Agent29,S3,F2,Box,708
B1193882,Color Agent21,S2,F6,Bag,5104
B1205658,Color Agent17,S4,F9,Box,509
B1210624,Color Agent16,S1,F11,Bag,8764
B1239959,Color Agent18,S2,F1,Bag,9692
B1324330,Color Agent35,S5,F9,Bag,14032
B1384946,Color Agent27,S1,F5,Bag,8440
B1394003,Color Agent16,S3,F4,Bag,6164
B1397051,Color Agent16,S1,F1,Box,462
B1425434,Color Agent2,S3,F9,Box,1840
B1473197,Color Agent9,S2,F10,Bag,7040
B1507952,Color Agent36,S5,F5,Bag,9216
B1546614,Color Agent9,S3,F3,Bag,11028
B1577038,Color Agent24,S1,F6,Bag,10256
B1586518,Color Agent24,S5,F1,Bag,6312
B1595579,Color Agent3,S3,F2,Bag,7480
B1600475,Color Agent34,S4,F8,Box,412
B1601912,Color Agent10,S4,F6,Box,603
B1648316,Color Agent4,S3,F8,Bag,5528
B1681475,Color Agent26,S3,F8,Bag,4960
B1713665,Color Agent21,S2,F5,Bag,8780
B1746121,Color Agent14,S1,F10,Box,720
B1796759,Color Agent25,S1,F5,Bag,5028
B1836103,Color Agent38,S5,F1,Bag,10188
B1886031,Color Agent2,S3,F9,Box,1902
B1968196,Color Agent27,S4,F10,Bag,8088
B2000561,Color Agent19,S3,F9,Bag,8952
B2009116,Color Agent34,S2,F10,Bag,15980
B2011848,Color Agent12,S3,F2,Bag,8928
B2019105,Color Agent35,S3,F11,Bag,5368
B2032320,Color Agent34,S2,F4,Bag,3580
B2072842,Color Agent4,S5,F2,Box,1477
B2088595,Color Agent17,S2,F5,Bag,7320
B2119684,Color Agent37,S3,F10,Bag,7116
B2125109,Color Agent40,S1,F1,Bag,5460
B2141696,Color Agent1,S5,F4,Bag,8128
B2220786,Color Agent9,S2,F10,Bag,5056
B2235503,Color Agent4,S3,F4,Bag,3620
B2269040,Color Agent26,S4,F3,Bag,4732
B2337146,Color Agent30,S2,F11,Bag,3996
B2436943,Color Agent10,S4,F5,Bag,9524
B2517548,Color Agent22,S1,F9,Box,562
B2526254,Color Agent39,S1,F10,Box,1167
B2550627,Color Agent37,S3,F11,Bag,6536
B2606581,Color Agent5,S1,F4,Box,590
B2632540,Color Agent17,S2,F6,Bag,7044
B2642526,Color Agent32,S5,F2,Bag,14508
B2652785,Color Agent29,S5,F3,Bag,10432
B2674214,Color Agent9,S1,F7,Bag,14424
B2678400,Color Agent31,S3,F10,Box,562
B2757890,Color Agent3,S4,F2,Bag,10388
B2779280,Color Agent6,S2,F7,Bag,8360
B2845039,Color Agent39,S2,F9,Box,498
B2902318,Color Agent2,S5,F11,Box,1385
B2923143,Color Agent4,S4,F3,Bag,5132
B2983783,Color Agent8,S4,F9,Bag,7032
B3031695,Color Agent3,S2,F1,Box,1654
B3043196,Color Agent40,S1,F7,Bag,5636
B3060739,Color Agent23,S2,F11,Bag,10916
B3067027,Color Agent11,S2,F5,Bag,6204
B3068894,Color Agent40,S4,F7,Box,602
B3092768,Color Agent26,S2,F1,Box,692
B3107076,Color Agent1,S1,F11,Bag,6224
B3162048,Color Agent13,S3,F2,Bag,8960
B3172721,Color Agent23,S4,F11,Bag,15828
B3232527,Color Agent29,S1,F2,Bag,5832
B3284223,Color Agent20,S4,F11,Bag,10076
B3298500,Color Agent26,S2,F9,Box,714
B3301412,Color Agent26,S2,F8,Bag,11804
B3356895,Color Agent24,S2,F3,Bag,9736
B3359169,Color Agent35,S4,F3,Bag,9564
B3359631,Color Agent3,S5,F4,Bag,6452
B3371837,Color Agent24,S1,F5,Box,534
B3405301,Color Agent34,S5,F1,Bag,7556
B3412496,Color Agent19,S4,F5,Bag,18356
B3429152,Color Agent3,S4,F11,Bag,6684
B3429931,Color Agent5,S5,F8,Bag,8124
B3442423,Color Agent17,S1,F5,Bag,9120
B3462358,Color Agent4,S3,F8,Bag,8572
B3475150,Color Agent17,S1,F4,Bag,5196
B3491807,Color Agent31,S4,F7,Box,950
B3558361,Color Agent19,S4,F5,Bag,11544
B3561826,Color Agent10,S5,F5,Bag,7040
B3586777,Color Agent13,S2,F11,Box,1087
B3598448,Color Agent6,S5,F12,Bag,4412
B3610650,Color Agent37,S1,F2,Bag,4188
